name,nb_alt,nb_lat,nb_lon,short
Bloomington Heights,2963.92477339,-93.6197073,42.0233443,Blmngtn
Bluestem,2963.93662322,-93.6637831,42.0230901,Blueste
Briardale,54083.2516337,34.88718555,32.09079,BrDale
Brookside,2963.66344687,-93.6297476,42.0289499,BrkSide
Clear Creek,2963.27388922,-93.6979,42.037305,ClearCr
College Creek,5928.22617776,-93.65884535,42.01930445,CollgCr
Crawford,2963.78737724,-93.6204513,42.0262916,Crawfor
Edwards,2964.29526055,-93.6853572,42.0153961,Edwards
Gilbert,2960.02126123,-93.641272,42.1070136,Gilbert
Iowa DOT and Rail Road,54083.2516337,34.88718555,32.09079,IDOTRR
Meadow Village,2965.39813839,-93.6045889,41.9917284,MeadowV
Mitchell,2965.46429208,-93.6010533,41.9903084,Mitchel
North Ames,2962.71240246,-93.6224402,42.0493452,Names
Northridge,2962.78405874,-93.6487377,42.0478088,NoRidge
Northpark Villa,2964.63841905,-93.6093639,42.0080331,NPkVill
Northridge Heights,2815.6575202,-93.6494713,42.0597732,NridgHt
Northwest Ames,2963.9203728,-93.6093172,42.0234387,NWAmes
Old Town,3355.5097906,-117.1956544,32.7522025,OldTown
South & West of Iowa State University,2817.12715304,-93.6464654,42.0266187,SWISU
Sawyer,2963.43252951,-93.6770658,42.0339027,Sawyer
Sawyer West,54083.2516337,34.88718555,32.09079,SawyerW
Somerset,5925.28147411,-93.6441994,42.05088175,Somerst
Stone Brook,2962.34242274,-93.6388448,42.0572773,StoneBr
Timberland,2964.98920758,-93.6497487,42.0005053,Timber
Veenker,2963.08740368,-93.6503018,42.0413042,Veenker
